Product ID,Invoice Date,Region,State,City,Gender Type,Operating Profit,Operating Margin,Sales Method
AH2430,10/26/2021,Northeast,Pennsylvania,Philadelphia,Men,24062.5,0.35,Outlet
G27341,10/27/2021,Northeast,Pennsylvania,Philadelphia,Women,30375,0.3,Outlet
CM0081,10/28/2021,Northeast,Pennsylvania,Philadelphia,Men,117562.5,0.55,Outlet
B44832,10/29/2021,Northeast,Pennsylvania,Philadelphia,Men,19687.5,0.35,Outlet
D98205,10/30/2021,Northeast,Pennsylvania,Philadelphia,Women,24500,0.4,Outlet
B75586,10/31/2021,Northeast,Pennsylvania,Philadelphia,Women,8000,0.4,Outlet
CG4051,11/1/2021,Northeast,Pennsylvania,Philadelphia,Men,24062.5,0.35,Outlet
CM0080,11/2/2021,Northeast,Pennsylvania,Philadelphia,Women,30375,0.3,Outlet
B75990,11/3/2021,Northeast,Pennsylvania,Philadelphia,Men,122375,0.55,Outlet
EE5761,11/4/2021,Northeast,Pennsylvania,Philadelphia,Men,26250,0.35,Outlet
EE4553,11/5/2021,Northeast,Pennsylvania,Philadelphia,Women,28000,0.4,Outlet
EF9315,11/6/2021,Northeast,Pennsylvania,Philadelphia,Women,4500,0.4,Outlet
F35281,11/7/2021,Northeast,Pennsylvania,Philadelphia,Men,13500,0.3,Outlet
EF9220,11/8/2021,Northeast,Pennsylvania,Philadelphia,Women,21875,0.25,Outlet
EG0000,11/9/2021,Northeast,Pennsylvania,Philadelphia,Men,112500,0.5,Outlet
B44889,11/10/2021,Northeast,Pennsylvania,Philadelphia,Men,22500,0.3,Outlet
CL7417,11/11/2021,Northeast,Pennsylvania,Philadelphia,Women,21000,0.35,Outlet
CL7408,11/12/2021,Northeast,Pennsylvania,Philadelphia,Women,11812.5,0.35,Outlet
B43601,11/13/2021,Northeast,Pennsylvania,Philadelphia,Men,13500,0.3,Outlet
EE8245,11/14/2021,Northeast,Pennsylvania,Philadelphia,Women,25000,0.25,Outlet
EE8042,11/15/2021,Northeast,Pennsylvania,Philadelphia,Men,141000,0.5,Outlet
CL7429,11/16/2021,Northeast,Pennsylvania,Philadelphia,Men,31500,0.3,Outlet
CL7370,11/17/2021,Northeast,Pennsylvania,Philadelphia,Women,28875,0.35,Outlet
EE9946,11/18/2021,Northeast,Pennsylvania,Philadelphia,Women,19250,0.35,Outlet
CK9741,11/19/2021,Northeast,Pennsylvania,Philadelphia,Men,24375,0.3,Outlet
CL7363,11/20/2021,Northeast,Pennsylvania,Philadelphia,Women,52500,0.3,Outlet
CL7372,11/21/2021,Northeast,Pennsylvania,Philadelphia,Men,178750,0.55,Outlet
CL7430,11/22/2021,Northeast,Pennsylvania,Philadelphia,Men,52500,0.35,Outlet
F34485,11/23/2021,Northeast,Pennsylvania,Philadelphia,Women,38500,0.4,Outlet
CL7365,11/24/2021,Northeast,Pennsylvania,Philadelphia,Women,33000,0.4,Outlet
CL7373,11/25/2021,Northeast,Pennsylvania,Philadelphia,Men,34125,0.35,Outlet
CL7364,11/26/2021,Northeast,Pennsylvania,Philadelphia,Women,63000,0.3,Outlet
CL7374,11/27/2021,Northeast,Pennsylvania,Philadelphia,Men,178750,0.55,Outlet
EE8167,11/28/2021,Northeast,Pennsylvania,Philadelphia,Men,63000,0.35,Outlet
CL7410,11/29/2021,Northeast,Pennsylvania,Philadelphia,Women,49500,0.4,Outlet
CL7401,11/30/2021,Northeast,Pennsylvania,Philadelphia,Women,38500,0.4,Outlet
EE8219,12/1/2021,Northeast,Pennsylvania,Philadelphia,Men,45500,0.35,Outlet
CL7402,12/2/2021,Northeast,Pennsylvania,Philadelphia,Women,78750,0.3,Outlet
EE9929,12/3/2021,Northeast,Pennsylvania,Philadelphia,Men,187687.5,0.55,Outlet
EE8221,12/4/2021,Northeast,Pennsylvania,Philadelphia,Men,63000,0.35,Outlet
EE8224,12/5/2021,Northeast,Pennsylvania,Philadelphia,Women,49500,0.4,Outlet
EE9941,12/6/2021,Northeast,Pennsylvania,Philadelphia,Women,44000,0.4,Outlet
EE8522,12/7/2021,Northeast,Pennsylvania,Philadelphia,Men,39812.5,0.35,Outlet
EE9932,12/8/2021,Northeast,Pennsylvania,Philadelphia,Women,73500,0.3,Outlet
EE8375,12/9/2021,Northeast,Pennsylvania,Philadelphia,Men,154375,0.5,Outlet
