,City Name,Province or Territory,2023 Population[15],Avg. Annual Growth Rate (2017-2023),2017 Population[16],Avg. Annual Growth Rate (1998-2017),1998 Population[11]
0,Karachi,Sindh,18868021,4.05%,14884402,2.48%,9339023.0
1,Lahore,Punjab,13004135,2.65%,11119985,4.06%,5209088.0
2,Faisalabad,Punjab,3691999,2.37%,3210158,2.49%,2008861.0
3,Rawalpindi,Punjab,3357612,8.18%,2097824,2.11%,1409768.0
4,Gujranwala,Punjab,2668047,3.55%,2028421,3.11%,1132509.0
5,Multan,Punjab,2215381,2.85%,1872641,2.38%,1197384.0
6,Hyderabad,Sindh,1921275,1.53%,1733622,2.10%,1166894.0
7,Peshawar,KPK,1905975,-0.55%,1969823,3.72%,982816.0
8,Quetta,Balochistan,1565546,7.79%,999385,3.04%,565137.0
9,Islamabad,ICT,1108872,1.59%,1009003,3.45%,529180.0
10,Sargodha,Punjab,975886,6.81%,658208,1.92%,458440.0
11,Sialkot,Punjab,911817,5.64%,656730,2.36%,421502.0
12,Bahawalpur,Punjab,903795,2.88%,762774,3.34%,408395.0
13,Jhang,Punjab,606533,6.58%,414309,1.83%,293366.0
14,Sheikhupura,Punjab,591424,3.80%,472269,2.79%,280263.0
15,Gujrat,Punjab,574240,6.65%,390758,2.34%,251792.0
16,Sukkur,Sindh,563851,2.02%,500401,2.12%,335551.0
17,Larkana,Sindh,551716,2.07%,488006,3.15%,270283.0
18,Sahiwal,Punjab,538344,"5,59%",388795,,
19,Okara,Punjab,533693,6.90%,358146,,
20,Rahim Yar Khan,Punjab,519261,3.57%,420963,3.14%,233537.0
21,Kasur,Punjab,510875,6.11%,358296,,
